subscriber_id,product,region,acquisition_channel,start_date,contract_type,contract_end_date,bundle_depth,mrr,nps_score,status,churn_date,churn_reason,plan_change,propensity_score,tenure_months,tenure_cohort,last_interaction_date,days_to_churn,grace_period
SKY-00125,Sky Sports,England,Online,2025-11-06,in-contract,2027-10-27,single,18.01,10,active,,,none,0.173,5,0-6m,2026-01-02,,false
SKY-00126,Sky Sports,England,Retail,2025-12-14,OOC,2026-01-01,single,27.19,10,active,,,none,0.027,4,0-6m,2025-11-19,,false
SKY-00127,Sky Glass/Sky Q,England,Online,2024-11-19,in-contract,2025-11-14,single,61.06,6,active,,,none,0.482,17,1-2yr,2025-10-30,,false
SKY-00128,Sky Cinema,England,Online,2025-01-14,in-contract,2026-01-09,double,22.21,8,churned,2025-08-28,moved,none,0.904,7,6-12m,2025-07-22,37,false
SKY-00129,Sky Broadband,England,Telesales,2025-06-12,OOC,2025-05-06,single,32.18,0,active,,,none,0.177,10,6-12m,2026-02-11,,false
SKY-00130,Sky Cinema,Wales,Telesales,2024-09-24,in-contract,2026-09-14,single,10.72,7,churned,2026-01-27,found_better_deal,none,0.676,16,1-2yr,2025-12-06,52,false
SKY-00131,NOW TV,England,Online,2025-07-21,rolling-monthly,,single,8.54,10,active,,,none,0.4,9,6-12m,2025-10-10,,false
SKY-00132,NOW TV,England,Online,2025-07-08,rolling-monthly,,double,10.02,7,active,,,none,0.358,9,6-12m,2025-10-08,,false
SKY-00133,Sky Protect,England,Partner,2025-12-16,in-contract,2027-06-09,double,9.43,6,active,,,none,0.229,4,0-6m,2025-12-29,,false
SKY-00134,Sky Broadband,England,Online,2025-12-18,OOC,2025-09-03,single,30.4,4,active,,,none,0.112,4,0-6m,2026-02-22,,false
SKY-00135,Sky Cinema,England,Online,2025-05-26,in-contract,2027-05-16,single,17.21,10,active,,,none,0.589,11,6-12m,2025-10-17,,false
SKY-00136,Sky Sports,England,Direct,2024-12-29,in-contract,2026-12-19,single,26.84,10,active,,,none,0.014,16,1-2yr,2025-10-04,,false
SKY-00137,NOW TV,England,Online,2024-04-15,OOC,2025-07-05,single,12.71,8,churned,2024-05-20,price,none,0.838,1,0-6m,2024-03-31,50,false
SKY-00138,Sky Mobile,England,Direct,2025-03-29,OOC,2025-07-05,double,18.24,9,active,,,none,0.098,13,1-2yr,2026-01-03,,false
SKY-00139,Sky Mobile,England,Online,2025-05-18,rolling-monthly,,single,15.27,8,churned,2025-07-12,price,none,0.938,2,0-6m,2025-05-17,56,false
SKY-00140,Sky Cinema,England,Direct,2025-10-23,in-contract,2027-04-16,single,10.79,9,active,,,none,0.298,6,6-12m,2026-02-26,,false
SKY-00141,Sky Mobile,England,Telesales,2025-04-08,in-contract,2027-03-29,single,24.62,5,churned,2025-05-04,price,none,0.605,1,0-6m,2025-03-08,57,false
SKY-00142,NOW TV,England,Online,2024-01-16,rolling-monthly,,single,8.12,10,churned,2024-07-25,found_better_deal,none,0.789,6,6-12m,2024-07-01,24,false
SKY-00143,Sky Broadband,Scotland,Online,2025-01-25,rolling-monthly,,single,48.04,6,churned,2025-04-15,financial_hardship,none,0.591,3,0-6m,2025-01-19,86,false
SKY-00144,Sky Broadband,England,Direct,2024-11-15,rolling-monthly,,single,46.85,10,active,,,none,0.056,17,1-2yr,2026-03-05,,false
SKY-00145,Sky Broadband,England,Online,2025-07-25,OOC,2025-08-04,double,29.49,7,active,,,none,0.148,9,6-12m,2025-12-06,,false
SKY-00146,Sky Glass/Sky Q,England,Telesales,2024-07-08,rolling-monthly,,double,65.45,9,active,,,upgrade,0.214,21,1-2yr,2025-12-28,,false
SKY-00147,Sky Protect,England,Retail,2024-09-29,in-contract,2026-09-19,single,13.17,10,active,,,none,0.316,19,1-2yr,2025-11-12,,false
SKY-00148,NOW TV,England,Partner,2025-04-03,rolling-monthly,,single,5.35,7,churned,2025-04-07,not_using,none,0.683,0,0-6m,2025-02-27,39,false
SKY-00149,Sky Broadband,England,Online,2025-12-07,rolling-monthly,,triple,52.44,9,active,,,none,0.145,4,0-6m,2026-01-15,,false
SKY-00150,Sky Glass/Sky Q,England,Telesales,2024-08-10,OOC,2025-08-04,single,68.03,9,churned,2025-08-25,financial_hardship,none,0.574,12,1-2yr,2025-06-18,68,false
SKY-00151,Sky Glass/Sky Q,England,Telesales,2024-11-30,in-contract,2025-11-25,single,61.95,10,active,,,none,0.256,17,1-2yr,2026-02-12,,false
SKY-00152,Sky Mobile,England,Direct,2024-11-08,in-contract,2026-05-02,double,51.41,8,active,,,none,0.012,17,1-2yr,2026-02-17,,false
SKY-00153,Sky Glass/Sky Q,England,Direct,2025-09-24,in-contract,2027-03-18,double,40.63,8,active,,,none,0.119,7,6-12m,2025-11-16,,false
SKY-00154,Sky Glass/Sky Q,England,Telesales,2025-04-13,OOC,2026-03-02,single,56.18,7,active,,,none,0.039,12,1-2yr,2026-01-30,,false
SKY-00155,Sky Sports,England,Partner,2025-09-11,in-contract,2027-09-01,single,25.83,9,active,,,none,0.395,7,6-12m,2025-11-16,,false
SKY-00156,NOW TV,England,Online,2024-05-29,rolling-monthly,,double,15.87,8,churned,2025-10-25,not_using,none,0.957,17,1-2yr,2025-09-02,53,false
SKY-00157,Sky Broadband,England,Partner,2024-07-28,in-contract,2026-01-19,triple,51.61,7,active,,,none,0.322,21,1-2yr,2025-12-17,,false
SKY-00158,Sky Mobile,England,Online,2025-08-27,rolling-monthly,,triple,53.92,3,active,,,none,0.435,8,6-12m,2026-03-21,,false
SKY-00159,Sky Protect,England,Online,2025-11-06,rolling-monthly,,single,10.46,10,active,,,none,0.079,5,0-6m,2026-03-31,,false
SKY-00160,Sky Sports,Scotland,Online,2025-08-25,OOC,2025-09-03,single,25.21,0,churned,2026-02-12,price,none,0.926,6,6-12m,2025-11-18,86,false
SKY-00161,Sky Sports,England,Online,2024-03-30,in-contract,2025-09-21,triple,25.92,7,active,,,none,0.142,25,2-5yr,2025-12-03,,false
SKY-00162,NOW TV,England,Direct,2024-07-31,rolling-monthly,,triple,11.88,7,churned,2024-09-07,moved,none,0.662,2,0-6m,2024-08-29,9,false
SKY-00163,Sky Mobile,England,Telesales,2024-01-07,in-contract,2025-06-30,single,36.73,9,active,,,none,0.038,27,2-5yr,2025-12-09,,false
SKY-00164,Sky Sports,England,Telesales,2025-05-27,in-contract,2026-11-18,triple,34.83,8,churned,2026-02-02,moved,none,0.811,9,6-12m,2026-01-21,12,false
SKY-00165,Sky Mobile,England,Online,2025-06-17,OOC,2026-03-02,double,28.01,10,active,,,none,0.101,10,6-12m,2026-01-29,,false
SKY-00166,Sky Broadband,England,Direct,2024-12-12,in-contract,2025-12-07,single,39.12,9,active,,,none,0.058,16,1-2yr,2025-12-29,,false
SKY-00167,Sky Cinema,England,Retail,2024-12-04,OOC,2025-08-04,single,10.65,4,active,,,none,0.265,16,1-2yr,2025-11-06,,false
SKY-00168,Sky Protect,England,Telesales,2025-04-19,in-contract,2026-04-14,double,14.53,10,active,,,upgrade,0.344,12,1-2yr,2026-01-15,,false
SKY-00169,Sky Sports,England,Direct,2025-03-21,OOC,2026-01-31,double,29.14,8,churned,2025-05-18,not_using,none,0.55,2,0-6m,2025-03-07,72,false
SKY-00170,Sky Protect,NI,Online,2024-10-15,rolling-monthly,,single,19.94,8,churned,2025-09-24,moved,none,0.839,11,6-12m,2025-09-06,18,false
SKY-00171,Sky Glass/Sky Q,England,Retail,2025-04-11,rolling-monthly,,double,83.04,9,churned,2025-10-16,moved,none,0.654,6,6-12m,2025-08-12,65,false
SKY-00172,Sky Mobile,England,Telesales,2025-01-10,in-contract,2026-01-05,double,41.57,4,active,,,none,0.201,15,1-2yr,2026-01-16,,false
SKY-00173,Sky Mobile,England,Direct,2025-09-03,OOC,2026-03-02,double,37.19,9,active,,,none,0.325,7,6-12m,2025-10-29,,false
SKY-00174,Sky Broadband,Scotland,Direct,2025-11-05,in-contract,2026-10-31,single,46.02,8,active,,,none,0.146,5,0-6m,2025-12-10,,false
SKY-00175,NOW TV,England,Online,2024-12-19,OOC,2026-01-31,single,9.64,8,active,,,none,0.203,16,1-2yr,2025-10-11,,false
SKY-00176,Sky Sports,England,Telesales,2025-11-24,OOC,2025-10-03,single,26.07,10,churned,2025-11-24,financial_hardship,none,0.852,0,0-6m,2025-10-10,45,false
